sector,cumulative_return
ALUMINIUM,1.4083639507240115
AUTOMOBILES,1.5191304303816897
BANKING,1.157423310130504
CEMENT,1.2995364763853507
DEFENCE,2.191465256797583
ENERGY,1.4057817110028408
ENGINEERING,1.2404068663005552
FINANCE,1.1683097630251318
FMCG,0.9956517342501772
FOOD & TOBACCO,1.0248139665049483
INSURANCE,1.1491979751968218
MINING,1.3502364258927115
MISCELLANEOUS,1.5937756031716126
PAINTS,0.8433490654444462
PHARMACEUTICALS,1.3550036019015492
POWER,1.6204339041316418
RETAILING,1.9892948562120396
SOFTWARE,1.4250609724703411
STEEL,1.2788983142946204
TEXTILES,1.354646320823148
